trial,tag,lr,wd,dw,fw,elapsed_s,best_val,best_epoch,status
1,lr5.84e-04_wd7.85e-04_dw0.51_fw0.49_bs64,0.000584295817134377,0.0007850295547548327,0.51,0.49,1728.9,0.4515754669904709,13,ok
2,lr7.73e-05_wd1.90e-04_dw0.50_fw0.50_bs64,7.733482826448483e-05,0.00018975219282788412,0.5,0.5,2018.6,0.41447119154036044,17,ok
3,lr4.74e-04_wd5.73e-05_dw0.54_fw0.46_bs64,0.0004739121941011824,5.731678409406088e-05,0.54,0.46,1674.5,0.4853851333260536,13,ok
4,lr2.37e-04_wd1.86e-03_dw0.55_fw0.45_bs64,0.00023717726635232622,0.0018632975502785403,0.55,0.45,1258.7,0.4695015672594309,8,ok
5,lr8.37e-05_wd7.75e-04_dw0.61_fw0.39_bs64,8.370603421161542e-05,0.0007753727079851137,0.61,0.39,2093.1,0.5087961386889219,22,ok
6,lr7.51e-05_wd1.88e-03_dw0.79_fw0.21_bs64,7.512068025776227e-05,0.0018808997118768475,0.79,0.21,1839.4,0.6633231312036514,15,ok
7,lr5.19e-04_wd1.80e-03_dw0.46_fw0.54_bs64,0.0005191894440652317,0.001800590175128782,0.46,0.54,2092.5,0.4100429616868496,19,ok
8,lr3.93e-04_wd1.77e-03_dw0.64_fw0.36_bs64,0.000393321441711378,0.0017664271040787301,0.64,0.36,1359.4,0.5494640190154314,9,ok
